var,ine_label,level
"Edad","15 y más años","age_all"
"Edad","De 15 a 19 años","age_15_19"
"Edad","De 20 a 24 años","age_20_24"
"Edad","De 25 a 29 años","age_25_29"
"Edad","De 30 a 34 años","age_30_34"
"Edad","De 35 a 39 años","age_35_39"
"Edad","De 40 a 49 años","age_40_49"
"Edad","De 50 a 59 años","age_50_59"
"Edad","De 60 a 69 años","age_60_69"
"Edad","De 70 a 79 años","age_70_79"
"Edad","De 80 a 89 años","age_80_89"
"Edad","90 y más años","age_ge_90"
"Sexo","Total","sex_all"
"Sexo","Hombres","sex_men"
"Sexo","Mujeres","sex_women"
"Nivel de estudios","Total","ed_all"
"Nivel de estudios","Educación primaria e inferior","ed_prim"
"Nivel de estudios","Primera etapa de Educación Secundaria y similar","ed_sec_low"
"Nivel de estudios","Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior","ed_sec_high"
"Nivel de estudios","Educación superior","ed_sup"
