reg_code,prov_code,prov_name
"01","04","Almería"
"01","11","Cádiz"
"01","14","Córdoba"
"01","18","Granada"
"01","21","Huelva"
"01","23","Jaén"
"01","29","Málaga"
"01","41","Sevilla"
"02","22","Huesca"
"02","44","Teruel"
"02","50","Zaragoza"
"03","33","Asturias"
"04","07","Balears, Illes"
"05","35","Palmas, Las"
"05","38","Santa Cruz de Tenerife"
"06","39","Cantabria"
"07","05","Ávila"
"07","09","Burgos"
"07","24","León"
"07","34","Palencia"
"07","37","Salamanca"
"07","40","Segovia"
"07","42","Soria"
"07","47","Valladolid"
"07","49","Zamora"
"08","02","Albacete"
"08","13","Ciudad Real"
"08","16","Cuenca"
"08","19","Guadalajara"
"08","45","Toledo"
"09","08","Barcelona"
"09","17","Girona"
"09","25","Lleida"
"09","43","Tarragona"
"10","03","Alicante/Alacant"
"10","12","Castellón/Castelló"
"10","46","Valencia/València"
"11","06","Badajoz"
"11","10","Cáceres"
"12","15","Coruña, A"
"12","27","Lugo"
"12","32","Ourense"
"12","36","Pontevedra"
"13","28","Madrid"
"14","30","Murcia"
"15","31","Navarra"
"16","01","Araba/Álava"
"16","48","Bizkaia"
"16","20","Gipuzkoa"
"17","26","Rioja, La"
"18","51","Ceuta"
"19","52","Melilla"
